match_id,time,avg_summoner_lvl_ally,avg_match_history_length_ally,avg_win_rate_ally,sum_champ_mastery_ally,avg_summoner_lvl_enemy,avg_match_history_length_enemy,avg_win_rate_enemy,sum_champ_mastery_enemy,win
NA1_5097478847,2024-08-29 17:59:20.706402,328.6,20.0,0.49,1698945,343.8,17.6,0.59,198337,0
NA1_5096439925,2024-08-29 17:59:48.614182,131.2,18.6,0.44,295958,270.4,20.0,0.47,1147510,1
NA1_5089985760,2024-08-29 18:01:08.060920,276.6,20.0,0.56,173595,420.4,20.0,0.46,572213,1
NA1_5089938065,2024-08-29 18:01:36.034958,391.8,20.0,0.49,1649386,312.2,20.0,0.42,1784863,1
NA1_5089885734,2024-08-29 18:02:56.070129,436.6,20.0,0.47,1074926,443.2,20.0,0.45,1536221,0
NA1_5096717278,2024-08-29 18:03:23.515471,455.0,20.0,0.55,1357740,334.4,20.0,0.5,2268589,1
NA1_5096685260,2024-08-29 18:03:51.418895,374.8,20.0,0.49,576371,462.8,17.4,0.42,1054630,1
NA1_5096658610,2024-08-29 18:05:11.035014,265.8,20.0,0.51,1838571,114.4,20.0,0.52,286471,1
NA1_5097170795,2024-08-29 18:05:42.969292,387.4,20.0,0.49,1364530,312.0,17.6,0.55,1454750,0
NA1_5097116145,2024-08-29 18:06:59.603,302.0,20.0,0.41,439416,109.6,14.8,0.55,935434,0
NA1_5084954590,2024-08-29 18:07:27.584017,260.2,20.0,0.47,682726,149.4,17.6,0.55,310153,0
NA1_5097610148,2024-08-29 18:07:55.549086,335.6,20.0,0.49,2452860,382.0,20.0,0.5,631788,0
NA1_5096618145,2024-08-29 18:09:14.973630,311.6,20.0,0.52,1701058,241.2,20.0,0.5,1278013,0
NA1_5095890014,2024-08-29 18:09:42.387681,347.8,19.8,0.51,759714,459.0,20.0,0.5,546100,1
NA1_5091486031,2024-08-29 18:11:02.471025,187.8,20.0,0.51,505933,398.6,20.0,0.5,2908271,1
NA1_5091455455,2024-08-29 18:11:30.331251,86.2,18.8,0.56,90640,369.2,20.0,0.49,399677,1
NA1_5091423717,2024-08-29 18:11:58.879930,420.6,20.0,0.52,2219504,247.6,20.0,0.47,883017,1
NA1_5083762378,2024-08-29 18:13:18.659851,186.6,20.0,0.51,87446,234.8,20.0,0.5,77874,1
NA1_5083745527,2024-08-29 18:13:46.181413,416.0,20.0,0.47,2561217,281.2,20.0,0.53,1883742,1
NA1_5083739073,2024-08-29 18:15:06.153554,251.8,20.0,0.52,317680,228.4,19.2,0.64,498693,0
NA1_5081495948,2024-08-29 18:15:33.608529,361.2,20.0,0.5,1468317,171.2,20.0,0.54,264882,0
NA1_5081472512,2024-08-29 18:16:54.200255,312.0,20.0,0.49,1675160,384.0,20.0,0.49,659855,0
NA1_5037023143,2024-08-29 18:17:22.696970,513.8,20.0,0.51,2323160,219.2,20.0,0.5,459855,0
