match_id,time,avg_summoner_lvl_team_1,avg_match_history_length_team_1,avg_win_rate_team_1,sum_champ_mastery_team_1,avg_summoner_lvl_team_2,avg_match_history_length_team_2,avg_win_rate_team_2,sum_champ_mastery_team_2,winner
NA1_5056863648,2024-08-24 22:48:15.764870,298.8,20.0,0.52,9608168,380.8,20.0,0.53,144999,1
NA1_5055279201,2024-08-24 22:49:24.281418,404.4,20.0,0.51,584451,525.2,20.0,0.51,1381949,1
NA1_5054413539,2024-08-24 22:49:58.885528,372.0,20.0,0.49,2780881,453.4,20.0,0.51,781613,1
NA1_5093715897,2024-08-24 22:50:33.330037,358.4,20.0,0.49,637351,387.6,20.0,0.5,185670,2
NA1_5093695439,2024-08-24 22:51:43.512585,450.2,20.0,0.46,1016266,321.8,20.0,0.49,289977,1
NA1_5092599336,2024-08-24 22:52:18.352084,288.8,20.0,0.51,840728,505.0,20.0,0.5,1303214,1
NA1_5087882340,2024-08-24 22:53:27.728087,503.6,20.0,0.58,2539308,315.2,20.0,0.46,489611,1
NA1_5087838768,2024-08-24 22:54:04.234585,397.0,20.0,0.45,1315210,272.2,20.0,0.57,1110516,2
NA1_5087791995,2024-08-24 22:54:38.661946,512.6,20.0,0.51,408121,402.2,20.0,0.45,2420242,2
NA1_5038896818,2024-08-24 22:55:46.508969,580.8,17.6,0.54,456409,631.6,20.0,0.46,2029189,2
NA1_5038882934,2024-08-24 22:56:20.569969,379.6,20.0,0.5,382324,437.6,17.6,0.55,1048257,1
NA1_5038866492,2024-08-24 22:57:31.260498,401.0,17.6,0.52,520033,365.4,20.0,0.51,221923,1
NA1_5094155177,2024-08-24 22:58:06.137498,239.2,20.0,0.57,173712,418.2,20.0,0.54,2290061,2
NA1_5094122488,2024-08-24 22:58:41.219496,434.0,20.0,0.48,1859766,430.4,20.0,0.53,351684,2
NA1_5094101119,2024-08-24 22:59:49.337163,425.2,20.0,0.51,1027936,305.2,20.0,0.55,807901,2
NA1_5066483535,2024-08-24 23:00:23.110471,262.2,20.0,0.52,1525382,260.0,20.0,0.45,1129634,1
NA1_5066431770,2024-08-24 23:01:34.242036,384.8,20.0,0.48,2673990,210.4,20.0,0.56,175919,2
NA1_5061846965,2024-08-24 23:02:08.946414,374.6,20.0,0.48,1060863,375.6,20.0,0.45,3179292,1
NA1_5094124920,2024-08-24 23:02:42.529366,238.2,20.0,0.49,719984,363.4,20.0,0.5,1546446,1
NA1_5094063632,2024-08-24 23:03:52.624453,527.0,20.0,0.5,1123410,359.8,20.0,0.49,2137698,1
NA1_5094027085,2024-08-24 23:04:26.854318,152.2,20.0,0.52,846470,582.8,20.0,0.5,660856,2
NA1_5090052975,2024-08-24 23:05:37.658223,351.8,20.0,0.51,957246,552.0,20.0,0.5,686227,2
NA1_5090014373,2024-08-24 23:06:11.325864,386.8,20.0,0.51,389984,488.6,20.0,0.48,1641972,1
NA1_5089314706,2024-08-24 23:07:23.158999,331.8,20.0,0.48,978030,763.0,20.0,0.51,3481860,2
NA1_5093813465,2024-08-24 23:07:57.178086,421.4,20.0,0.51,515819,424.8,20.0,0.5,2346010,2
NA1_5093805335,2024-08-24 23:08:31.705760,488.6,20.0,0.5,1738501,548.6,20.0,0.5,713726,2
NA1_5091582261,2024-08-24 23:09:41.694294,223.4,20.0,0.52,225290,578.0,20.0,0.59,879006,2
NA1_5090787747,2024-08-24 23:10:16.028113,147.2,17.8,0.53,399789,314.0,20.0,0.51,409584,2
NA1_5090147492,2024-08-24 23:11:26.591533,250.8,17.8,0.6,392329,303.4,20.0,0.53,2373082,1
NA1_5090130026,2024-08-24 23:12:00.035220,362.0,17.8,0.59,344463,243.6,20.0,0.54,1447052,1
NA1_5093179381,2024-08-24 23:12:33.561484,280.4,20.0,0.5,2537399,516.4,20.0,0.41,819192,1
NA1_5093153526,2024-08-24 23:13:42.671246,515.4,20.0,0.51,4466347,646.0,20.0,0.52,1154910,2
NA1_5093126380,2024-08-24 23:14:13.182090,391.6,20.0,0.5,1985242,415.2,20.0,0.5,1864432,1
NA1_5028452849,2024-08-25 00:07:55.715252,122.0,20.0,0.43,265316,221.4,20.0,0.6,673482,2
NA1_5028429735,2024-08-25 00:08:29.745804,490.2,20.0,0.56,409417,434.4,20.0,0.52,656684,2
NA1_5027802105,2024-08-25 00:09:40.912730,325.4,20.0,0.55,572928,106.0,14.2,0.48,164517,1
NA1_5092019579,2024-08-25 00:10:15.515257,424.0,20.0,0.49,188280,207.6,20.0,0.47,910880,2
NA1_5092001769,2024-08-25 00:10:50.621784,475.8,20.0,0.35,597014,269.4,20.0,0.49,1395950,2
NA1_5086471882,2024-08-25 00:11:59.940960,407.4,20.0,0.49,946629,224.8,20.0,0.5,790392,2
NA1_5051530860,2024-08-25 00:12:34.652223,337.0,20.0,0.5,541430,335.4,20.0,0.51,354841,2
NA1_5051435351,2024-08-25 00:13:44.720096,302.6,20.0,0.45,521379,315.8,20.0,0.51,216403,1
NA1_5051302042,2024-08-25 00:14:18.850634,437.6,20.0,0.52,420133,144.6,20.0,0.46,227929,2
NA1_5086511452,2024-08-25 00:15:28.484329,435.6,20.0,0.48,458910,225.8,20.0,0.51,508543,1
NA1_5086499365,2024-08-25 00:16:03.565508,132.0,20.0,0.49,184119,457.2,20.0,0.48,228689,1
NA1_5086495172,2024-08-25 00:16:38.214864,317.8,20.0,0.51,636704,387.6,20.0,0.5,3322252,1
NA1_5012117155,2024-08-25 00:17:47.879908,344.6,20.0,0.47,556042,274.0,20.0,0.46,435313,2
NA1_5010008180,2024-08-25 00:18:25.627733,148.4,20.0,0.5,613384,334.6,20.0,0.46,732164,1
NA1_5009838738,2024-08-25 00:19:31.056760,301.2,20.0,0.49,3751495,306.0,20.0,0.45,349570,1
